book_name,authors,publisher,pub_time,desc,score,people_num,price,img
电影动作设计,桑林 ,北京联合出版公司, 2017-9 ,《绣春刀》里藏武学，揭秘动作导演思维，开创真武侠电影 张家振、张震、路阳等前辈同侪情义相挺，作序推荐 迄今为止电影动作设计从业者的唯一一本专业技术论著 倾囊...,7.7,259, 80.00元,https://img9.doubanio.com/view/subject/s/public/s29525776.jpg
大师镜头（第一卷） : 低成本拍大片的100个高级技巧（第2版）,肯沃斯  魏俊彦 ,电子工业出版社, 2013-1 ,《大师镜头(第1卷):低成本拍大片的100个高级技巧(第2版)》能给你灵感，让你有冲动去尝试那些复杂的、创意十足的镜头。书中引用的例证全都来自于大片，那些设...,8.5,314, 59.00元,https://img1.doubanio.com/view/subject/s/public/s24642779.jpg
绿眼睛 : 杜拉斯与电影,[法] 玛格丽特·杜拉斯  陆一琛 ,民主与建设出版社, 2021-1 ,《情人》《广岛之恋》作者、法国国宝级大师、龚古尔文学奖得主 杜拉斯唯一一本专论个人电影观的代表性著作，中文世界首度引进 《电影手册》出品，力邀杜拉斯共同企划...,8.4,506, 111.00元,https://img2.doubanio.com/view/subject/s/public/s33764911.jpg
认识电影：全彩插图第12版,[美] 路易斯·贾内梯  焦雄屏 ,北京联合出版公司, 2016-9 ,"全球畅销40余年，历经12次修订的电影入门书 著名学者焦雄屏潜心增修校译, 中文世界新版首发！ 精编精校，高度还原版式重排，全彩精装版！ ............",9.2,4273, 280.00元,https://img1.doubanio.com/view/subject/s/public/s28946557.jpg
电影理论解读,[美]罗伯特·斯塔姆  陈儒修、郭幼龙 ,北京大学出版社, 2017-7 ,本书是美国著名电影学者罗伯特·斯塔姆关于世界电影理论经典内容的全新论述。作者细致梳理了自电影问世以来电影理论的发展历程——从电影理论的起源，如林赛、芒斯特伯...,9.1,563, 66.00元,https://img9.doubanio.com/view/subject/s/public/s33866476.jpg
视听 : 幻觉的构建（第3版）,[法] 米歇尔·希翁  黄英侠 ,北京联合出版公司, 2014-7 ,开创电影声音理论新思维 认识声音构建的影像幻觉 电影声音及声音文化研究经典 最深入、最全面研究电影声音的经典著作 这是一本极具开创性的电影声音理论经典著作，...,8.7,499, 49.80元,https://img2.doubanio.com/view/subject/s/public/s33878801.jpg
时间―影像 : 电影2,德勒兹  谢强，蔡若明，马月 ,湖南美术出版社, 2004-08 ,几乎可以这样说，德勒兹谈电影的两卷本著作也许是你这辈子所能读到的最深刻的电影论著了。为何如此绝对？因为跟你同时代的思想家们未必有希望超越德勒兹。 德勒兹是法...,8.8,775, 38.00,https://img2.doubanio.com/view/subject/s/public/s1272003.jpg
电影诗学,[美] 大卫·波德维尔  张锦 ,广西师范大学出版社, 2010.8 ,电影在特定的历史环境中，是如何被创造出来以达到特定的效果的？对波德维尔来说，电影就是创造存在于历史语境中的东西，而目的是产生确定的效果。波德维尔从这一核心主...,8.7,604, 68.00元,https://img2.doubanio.com/view/subject/s/public/s4408203.jpg
后电影视觉 : 运动影像媒介与观众的共同进化,（美）罗杰·F.库克  韩晓强 ,广西师范大学出版社, 2023-6 ,电影作为一种现代媒介，在过去的一百多年间，与人类交互影响、共同进化。20世纪初，电影经过一系列发展与进化，挑战了既有的文字媒介，改变了媒介格局；20世纪末，...,9.0,275, 88,https://img9.doubanio.com/view/subject/s/public/s34562736.jpg
恋恋风尘：侯孝贤谈电影,侯孝贤 ,新星出版社, 2018-5-30 ,侯孝贤是台湾新电影运动重要的代表人物，自成风格，享誉国际。他擅长运用长镜头、空镜头和固定机位，以精省、克制的电影美学和语言，捕捉着我们身处世界渐渐消逝的美感...,8.4,1362, 48.00,https://img9.doubanio.com/view/subject/s/public/s29756185.jpg
漆中之黑,[澳] 杜可风（Christopher Doyle）  张熠如、张露婷 ,上海文艺出版社, 2023-4 ,《漆中之黑》为著名摄影师杜可风的随笔集，富有浓郁的个人色彩。书中，杜可风以简洁生动的文字，从自己十八岁离开家、当上海员周游世界开始，讲述了他是如何从零出发，...,8.2,319, 168.00元,https://img2.doubanio.com/view/subject/s/public/s34606033.jpg
贾樟柯的世界,[法] 让-米歇尔·付东（Jean-Michel Frodon）  孔潜 ,广西师范大学出版社, 2021-1 ,第一部详尽介绍和解读贾樟柯及其作品的著作 世界著名影评人 《电影手册》主编让–米歇尔•付东倾心撰写 珍贵访谈╳主要作品评论╳合作者采访╳演说全文 1998年...,7.9,1054, 68.00,https://img2.doubanio.com/view/subject/s/public/s33788132.jpg
天才的阴暗面 : 希区柯克的一生,〔美〕唐纳德·斯伯特  徐维光、吉晓倩 ,南海出版公司, 2012-6 ,《天才的阴暗面:希区柯克的一生》内容简介：一个人，如何能像希区柯克那样，挣脱内心的恐惧、焦虑、欲望与偏执，获得力量，找到属于自己的天才……《后窗》《迷魂记》...,8.1,254, 48.00元,https://img1.doubanio.com/view/subject/s/public/s9087108.jpg
认识电影（插图第12版）,[美] 路易斯·贾内梯  Louis Giannetti  焦雄屏 ,四川人民出版社, 2017-10 ,全球畅销40余年，历经12次修订的电影入门书 著名学者焦雄屏潜心增修校译 精编精校，高度还原版式重排 ...................... ※编辑推...,9.2,1448, 99.80元,https://img9.doubanio.com/view/subject/s/public/s29535444.jpg
漫威电影宇宙,[美] 塔拉·贝内特 著、[美] 保罗·特里 著、海豚传媒 编  何文静、陈卓 ,长江少年儿童出版社, 2023-9 ,,9.5,32, 368元,https://img1.doubanio.com/view/subject/s/public/s34642099.jpg
